site	genome	sulfur	carbon	oxygen	iron	nitrogen
4_1_July	4_1_July_SF_Bin57	4.645	15.145	-0.308	1.609	7.12
4_1_July	4_1_July_SF_Bin6	6.702	4.311	3.267	8.908	12.691
4_1_July	4_1_July_SF_Bin60	10.439	14.15	3.715	6.749	12.597
4_1_July	4_1_July_SF_Bin61	3.4	4.2	0.079	5.788	7.736
4_1_July	4_1_July_SF_Bin62	4.068	15.063	-0.547	1.798	7.422
4_1_July	4_1_July_SF_Bin64	0.339	-0.363	-0.101	0.03	0.136
4_1_July	4_1_July_SF_Bin9	8.229	3.578	3.091	4.33	13.871
4_1_May	4_1_May_SF_Bin1	2.9	7.05	3.514	3.371	13.738
4_1_May	4_1_May_SF_Bin10	1.645	3.496	4.236	4.654	14.216
4_1_May	4_1_May_SF_Bin11	2.295	3.374	4.054	5.001	12.697
4_1_May	4_1_May_SF_Bin13	8.388	4.507	3.509	5.677	10.5
4_1_May	4_1_May_SF_Bin14	3.876	15.778	-0.279	1.453	7.81
4_1_May	4_1_May_SF_Bin26	10.366	5.777	4.158	4.429	11.783
4_1_May	4_1_May_SF_Bin28	0.768	4.564	2.386	5.463	11.866
4_1_May	4_1_May_SF_Bin29	4.463	12.527	-0.726	1.798	6.48
4_1_May	4_1_May_SF_Bin30	9.13	5.026	4.298	9.045	15.137
4_1_May	4_1_May_SF_Bin31	4.753	13.989	2.855	5.654	13.174
4_1_May	4_1_May_SF_Bin33	4.396	5.599	5.411	5.474	8.884
4_1_May	4_1_May_SF_Bin34	2.368	4.526	1.984	7.699	13.437
4_1_May	4_1_May_SF_Bin35	4.882	5.378	3.488	8.972	14.717
4_1_May	4_1_May_SF_Bin36	5.293	5.855	4.151	5.396	15.431
4_1_May	4_1_May_SF_Bin38	4.438	3.814	2.477	6.705	12.071
4_1_May	4_1_May_SF_Bin4	10.1	12.482	4.583	4.491	10.316
4_1_May	4_1_May_SF_Bin43	3.39	7.152	4.39	9.215	15.665
4_1_May	4_1_May_SF_Bin44	6.148	3.99	3.262	9.255	14.024
4_1_May	4_1_May_SF_Bin47	2.86	6.874	3.425	3.431	13.508
4_1_May	4_1_May_SF_Bin49	5.62	4.369	4.633	7.227	15.974
4_1_May	4_1_May_SF_Bin50	0.778	6.309	5.051	2.871	14.229
4_1_May	4_1_May_SF_Bin51	3.4	1.438	2.367	5.887	9.582
4_1_May	4_1_May_SF_Bin52	4.255	3.621	2.862	3.618	12.682
4_1_May	4_1_May_SF_Bin53	5.398	5.364	4.163	6.516	15.214
4_1_May	4_1_May_SF_Bin54	4.93	1.757	2.246	3.284	12.199
4_1_May	4_1_May_SF_Bin55	4.239	1.653	1.48	3.751	12.384
4_1_May	4_1_May_SF_Bin56	4.754	3.512	1.859	7.179	11.513
4_1_May	4_1_May_SF_Bin57	10.202	12.687	4.437	5.476	11.573
4_1_May	4_1_May_SF_Bin58	10.195	11.961	4.606	6.466	11.837
4_1_May	4_1_May_SF_Bin59	5.487	5.451	4.3	6.438	15.489
4_1_May	4_1_May_SF_Bin6	4.191	4.802	2.203	5.723	13.643
4_1_May	4_1_May_SF_Bin62	4.401	4.636	2.554	2.629	11.602
4_1_May	4_1_May_SF_Bin63	5.191	5.119	4.766	6.778	14.715
4_1_May	4_1_May_SF_Bin64	2.631	2.077	0.486	-0.088	1.834
4_1_May	4_1_May_SF_Bin65	7.531	4.65	5.13	8.474	15.723
4_1_May	4_1_May_SF_Bin66	3.259	9.744	3.448	4.98	13.258
4_1_May	4_1_May_SF_Bin67	2.562	6.599	4.926	9.031	14.782
4_1_May	4_1_May_SF_Bin68	3.025	3.579	1.737	6.535	11.417
4_1_May	4_1_May_SF_Bin69	-0.529	2.409	4.033	3.436	13.99
4_1_May	4_1_May_SF_Bin72	3.246	8.825	4.768	8.919	15.341
4_1_May	4_1_May_SF_Bin74	2.087	5.465	4.931	9.375	15.871
4_1_May	4_1_May_SF_Bin75	7.189	5.446	4.321	7.181	13.67
4_1_May	4_1_May_SF_Bin9	8.414	9.542	3.706	4.984	9.927
4_1_Oct	4_1_Oct_SF_Bin11	3.31	4.478	3.109	5.428	11.378
4_1_Oct	4_1_Oct_SF_Bin12	4.245	10.045	2.889	7.737	12.313
4_1_Oct	4_1_Oct_SF_Bin14	5.932	1.793	1.838	3.433	12.038
4_1_Oct	4_1_Oct_SF_Bin16	8.34	4.658	4.221	9.095	14.205
4_1_Oct	4_1_Oct_SF_Bin17	0.936	5.761	3.323	3.431	13.717
4_1_Oct	4_1_Oct_SF_Bin18	3.322	11.922	3.079	5.66	12.929
4_1_Oct	4_1_Oct_SF_Bin19	2.123	4.772	2.866	1.941	12.728
4_1_Oct	4_1_Oct_SF_Bin2	-0.89	3.543	3.9	1.611	13.137
4_1_Oct	4_1_Oct_SF_Bin20	1.771	5.531	3.066	3.097	13.438
4_1_Oct	4_1_Oct_SF_Bin21	1.854	0.588	1.462	5.287	7.654
4_1_Oct	4_1_Oct_SF_Bin22	4.63	5.82	3.921	9.154	15.006
4_1_Oct	4_1_Oct_SF_Bin23	5.375	6.066	4.308	6.438	15.815
4_1_Oct	4_1_Oct_SF_Bin24	3.038	5.495	4.931	9.375	15.492
4_1_Oct	4_1_Oct_SF_Bin26	5.888	6.142	4.444	5.051	14.207
4_1_Oct	4_1_Oct_SF_Bin27	8.056	4.634	5.088	8.474	15.916
4_1_Oct	4_1_Oct_SF_Bin28	7.987	4.867	4.139	9.123	15.137
4_1_Oct	4_1_Oct_SF_Bin29	4.161	3.599	3.997	6.05	13.879
4_1_Oct	4_1_Oct_SF_Bin30	5.419	5.364	4.163	6.516	15.214
4_1_Oct	4_1_Oct_SF_Bin31	4.261	13.016	7.097	7.004	15.156
4_1_Oct	4_1_Oct_SF_Bin32	0.68	3.131	2.397	2.86	11.256
4_1_Oct	4_1_Oct_SF_Bin33	3.284	3.706	2.572	6.277	11.064
4_1_Oct	4_1_Oct_SF_Bin34	2.957	5.691	4.308	6.496	14.764
4_1_Oct	4_1_Oct_SF_Bin38	0.923	1.897	2.545	5.493	10.687
4_1_Oct	4_1_Oct_SF_Bin4	2.951	5.061	2.997	7.806	13.789
4_1_Oct	4_1_Oct_SF_Bin40	7.294	4.459	4.536	6.438	14.837
4_1_Oct	4_1_Oct_SF_Bin41	2.168	3.496	4.236	4.654	14.216
4_1_Oct	4_1_Oct_SF_Bin42	3.438	7.338	4.797	9.215	15.483
4_1_Oct	4_1_Oct_SF_Bin43	2.37	4.149	3.148	9.215	14.189
4_1_Oct	4_1_Oct_SF_Bin44	10.217	4.211	3.201	7.328	13.465
4_1_Oct	4_1_Oct_SF_Bin45	4.872	7.473	0.898	5.693	11.834
4_1_Oct	4_1_Oct_SF_Bin49	5.532	3.011	2.267	3.376	10.981
4_1_Oct	4_1_Oct_SF_Bin50	6.086	4.069	3.262	9.255	14.024
4_1_Oct	4_1_Oct_SF_Bin51	6.194	4.734	4.209	9.332	14.016
4_1_Oct	4_1_Oct_SF_Bin52	5.24	5.179	4.219	5.396	14.695
4_1_Oct	4_1_Oct_SF_Bin54	5.107	3.512	1.859	7.179	11.513
4_1_Oct	4_1_Oct_SF_Bin55	3.371	10.392	4.873	8.919	15.216
4_1_Oct	4_1_Oct_SF_Bin8	4.36	4.87	4.926	4.842	13.925
4_1_Oct	4_1_Oct_SF_Bin9	4.033	6.147	3.38	5.474	14.817
8_1_Jan	8_1_Jan_SF_Bin1	11.597	6.404	3.394	6.89	13.721
8_1_Jan	8_1_Jan_SF_Bin100	9.43	2.556	2.687	5.671	10.719
8_1_Jan	8_1_Jan_SF_Bin101	3.926	19.729	0.652	0.011	7.86
8_1_Jan	8_1_Jan_SF_Bin103	10.014	5.692	5.019	6.643	14.885
8_1_Jan	8_1_Jan_SF_Bin105	7.4	4.336	5.823	8.624	16.491
8_1_Jan	8_1_Jan_SF_Bin107	4.799	4.187	4.98	7.207	14.09
8_1_Jan	8_1_Jan_SF_Bin108	3.94	12.439	0.441	1.305	4.397
8_1_Jan	8_1_Jan_SF_Bin12	6.038	27.778	0.614	2.851	9.703
8_1_Jan	8_1_Jan_SF_Bin13	9.454	11.604	2.237	7.648	12.307
8_1_Jan	8_1_Jan_SF_Bin14	2.647	3.247	-0.189	0.784	4.868
8_1_Jan	8_1_Jan_SF_Bin17	5.856	4.183	3.581	6.127	14.5
8_1_Jan	8_1_Jan_SF_Bin18	8.891	4.15	5.011	6.024	12.627
8_1_Jan	8_1_Jan_SF_Bin19	9.3	4.904	4.51	7.933	13.982
8_1_Jan	8_1_Jan_SF_Bin23	10.306	5.101	4.991	7.494	15.607
8_1_Jan	8_1_Jan_SF_Bin27	7.481	4.089	4.153	7.19	14.685
8_1_Jan	8_1_Jan_SF_Bin3_1	5.52	1.792	3.61	5.687	13.339
8_1_Jan	8_1_Jan_SF_Bin31	3.765	16.38	4.11	4.447	13.588
8_1_Jan	8_1_Jan_SF_Bin32	4.147	22.948	-0.311	1.584	7.89
8_1_Jan	8_1_Jan_SF_Bin33	6.121	5.285	4.683	6.536	11.487
8_1_Jan	8_1_Jan_SF_Bin34	3.611	4.983	2.345	6.118	11.844
8_1_Jan	8_1_Jan_SF_Bin35	8.601	12.762	0.818	6.747	11.304
8_1_Jan	8_1_Jan_SF_Bin36	5.068	27.051	-0.094	1.306	7.958
8_1_Jan	8_1_Jan_SF_Bin39	7.272	3.169	5.452	7.441	15.222
8_1_Jan	8_1_Jan_SF_Bin4	3.516	5.708	3.28	5.363	11.302
8_1_Jan	8_1_Jan_SF_Bin40	3.629	4.52	2.832	4.705	12.61
8_1_Jan	8_1_Jan_SF_Bin41	4.676	10.799	0.241	0.873	7.832
8_1_Jan	8_1_Jan_SF_Bin42	4.418	4.88	3.57	6.614	13.542
8_1_Jan	8_1_Jan_SF_Bin44	7.099	3.166	4.722	2.318	12.803
8_1_Jan	8_1_Jan_SF_Bin45	0.662	2.98	2.091	0.661	7.263
8_1_Jan	8_1_Jan_SF_Bin46	5.615	30.023	0.01	1.091	4.913
8_1_Jan	8_1_Jan_SF_Bin48	4.739	25.766	0.123	1.335	8.881
8_1_Jan	8_1_Jan_SF_Bin49	8.1	8.554	1.063	6.56	9.953
8_1_Jan	8_1_Jan_SF_Bin50	5.441	12.84	0.38	0.26	5.256
8_1_Jan	8_1_Jan_SF_Bin51	5.837	6.435	3.986	5.423	12.054
8_1_Jan	8_1_Jan_SF_Bin52	5.397	27.376	0.069	1.335	8.217
8_1_Jan	8_1_Jan_SF_Bin53	5.982	5.094	4.729	8.023	12.123
8_1_Jan	8_1_Jan_SF_Bin54	7.28	3.308	4.582	7.162	15.437
8_1_Jan	8_1_Jan_SF_Bin55	5.233	22.05	0.353	1.34	8.339
8_1_Jan	8_1_Jan_SF_Bin56	11.405	5.838	4.814	7.63	14.119
8_1_Jan	8_1_Jan_SF_Bin58	3.934	1.141	1.806	1.857	9.757
8_1_Jan	8_1_Jan_SF_Bin59	3.709	4.721	3.16	0.681	7.915
8_1_Jan	8_1_Jan_SF_Bin6	2.558	2.674	2.82	3.975	9.982
8_1_Jan	8_1_Jan_SF_Bin60	4.789	5.917	3.348	7.716	12.869
8_1_Jan	8_1_Jan_SF_Bin62	5.547	11.905	0.118	1.335	6.965
8_1_Jan	8_1_Jan_SF_Bin63	7.274	3.376	4.779	7.102	14.793
8_1_Jan	8_1_Jan_SF_Bin65	7.292	3.401	4.787	8.562	16.192
8_1_Jan	8_1_Jan_SF_Bin66	2.781	5.783	3.657	1.87	9.521
8_1_Jan	8_1_Jan_SF_Bin67	2.906	6.96	4.195	2.624	9.39
8_1_Jan	8_1_Jan_SF_Bin68	5.125	5.92	3.776	5.254	13.67
8_1_Jan	8_1_Jan_SF_Bin71	5.974	27.522	0.652	1.002	8.744
8_1_Jan	8_1_Jan_SF_Bin73	1.526	3.787	2.453	3.593	11.856
8_1_Jan	8_1_Jan_SF_Bin74	5.557	29.796	-0.143	0.753	8.171
8_1_Jan	8_1_Jan_SF_Bin75	8.068	4.662	4.37	8.462	12.216
8_1_Jan	8_1_Jan_SF_Bin77	3.723	2.571	1.94	7.972	11.339
8_1_Jan	8_1_Jan_SF_Bin79	2.767	8.806	0.758	1.089	2.812
8_1_Jan	8_1_Jan_SF_Bin80	-0.463	0.319	0.424	-0.219	0.938
8_1_Jan	8_1_Jan_SF_Bin81	5.084	30.719	1.981	0.464	8.523
8_1_Jan	8_1_Jan_SF_Bin82	8.027	4.197	4.34	7.102	15.816
8_1_Jan	8_1_Jan_SF_Bin85	4.586	5.568	3.157	8.763	13.091
8_1_Jan	8_1_Jan_SF_Bin86	2.125	4.76	3.644	6.466	12.624
8_1_Jan	8_1_Jan_SF_Bin88	2.8	4.489	4.409	4.465	13.48
8_1_Jan	8_1_Jan_SF_Bin89	2.22	2.072	2.354	5.7	11.833
8_1_Jan	8_1_Jan_SF_Bin9	8.41	16.667	4.297	7.934	13.095
8_1_Jan	8_1_Jan_SF_Bin93	0.711	2.351	3.294	7.181	13.248
8_1_Jan	8_1_Jan_SF_Bin95	4.396	4.187	3.905	5.954	12.734
8_1_Jan	8_1_Jan_SF_Bin96	4.383	30.214	0.744	0.842	7.909
8_1_Jan	8_1_Jan_SF_Bin98	6.427	1.828	4.619	7.731	12.772
8_1_July	8_1_July_SF_Bin11	7.666	8.509	4.809	9.413	12.916
8_1_July	8_1_July_SF_Bin13	10.757	7.937	4.612	7.521	12.254
8_1_July	8_1_July_SF_Bin20	10.781	13.581	3.982	5.798	11.189
8_1_July	8_1_July_SF_Bin21	7.17	6.714	3.956	6.195	13.491
8_1_July	8_1_July_SF_Bin24	6.149	13.88	4.701	8.066	14.465
8_1_July	8_1_July_SF_Bin25	-0.166	0.504	0.559	0.762	1.111
8_1_July	8_1_July_SF_Bin26	8.567	4.831	3.312	5.194	13.701
8_1_July	8_1_July_SF_Bin3	7.967	5.201	4.208	7.965	14.515
8_1_July	8_1_July_SF_Bin31	2.767	4.411	4.871	3.109	14.559
8_1_July	8_1_July_SF_Bin32	4.686	3.771	4.63	8.307	13.999
8_1_July	8_1_July_SF_Bin33	4.625	19.133	-0.25	0.811	4.887
8_1_July	8_1_July_SF_Bin34	9.29	12.157	4.171	8.791	12.655
8_1_July	8_1_July_SF_Bin35	2.881	5.796	3.473	2.624	8.824
8_1_July	8_1_July_SF_Bin36	7.248	3.326	2.947	7.539	13.469
8_1_July	8_1_July_SF_Bin37	0.028	2.723	2.725	5.122	12.384
8_1_July	8_1_July_SF_Bin39	8.762	4.047	4.467	8.567	14.01
8_1_July	8_1_July_SF_Bin40	5.354	4.26	4.328	7.837	14.675
8_1_July	8_1_July_SF_Bin41	5.785	4.888	5.687	5.429	13.017
8_1_July	8_1_July_SF_Bin42	6.585	29.643	0.626	0.842	4.537
8_1_July	8_1_July_SF_Bin45	5.191	5.394	4.774	6.998	15.882
8_1_July	8_1_July_SF_Bin46	4.124	2.536	2.924	9.253	12.151
8_1_July	8_1_July_SF_Bin47	1.781	3.744	2.797	3.344	12.38
8_1_July	8_1_July_SF_Bin48	8.885	18.287	4.238	8.342	14.029
8_1_July	8_1_July_SF_Bin50	6.557	4.958	1.613	6.495	11.133
8_1_July	8_1_July_SF_Bin52	2.47	6.478	3.495	2.78	13.141
8_1_July	8_1_July_SF_Bin54	8.549	3.023	3.504	9.233	15.358
8_1_July	8_1_July_SF_Bin55	9.444	5.384	4.933	6.802	15.597
8_1_July	8_1_July_SF_Bin57	10.449	4.488	4.18	7.584	12.472
8_1_July	8_1_July_SF_Bin58	4.498	13.13	1.683	7.737	11.616
8_1_July	8_1_July_SF_Bin59	2.713	5.617	3.473	2.624	9.397
8_1_July	8_1_July_SF_Bin60	4.531	5.404	2.385	4.308	12.034
8_1_July	8_1_July_SF_Bin61	4.063	6.279	3.916	5.285	12.921
8_1_July	8_1_July_SF_Bin62	5.307	3.645	5.03	7.635	14.266
8_1_July	8_1_July_SF_Bin63	4.536	5.703	3.856	5.254	13.719
8_1_July	8_1_July_SF_Bin64	3.859	3.378	1.183	7.686	10.423
8_1_July	8_1_July_SF_Bin65	3.223	7.038	4.649	7.869	13.305
8_1_July	8_1_July_SF_Bin66	9.815	4.879	4.119	8.99	14.878
8_1_July	8_1_July_SF_Bin68	3.585	8.875	5.055	6.248	11.477
8_1_July	8_1_July_SF_Bin69	5.895	6.28	3.702	9.255	14.901
8_1_July	8_1_July_SF_Bin7	0.39	2.921	1.82	6.632	11.238
8_1_July	8_1_July_SF_Bin70	7.44	3.207	3.718	7.385	9.898
8_1_July	8_1_July_SF_Bin71	4.256	5.287	3.371	6.077	12.96
8_1_July	8_1_July_SF_Bin73	5.72	26.448	0.265	0.509	6.987
8_1_July	8_1_July_SF_Bin8	1.52	1.139	1.358	6.026	8.132
8_1_May	8_1_May_SF_Bin10	2.806	4.951	3.013	1.917	8.874
8_1_May	8_1_May_SF_Bin11	9.477	19.693	4.168	8.405	13.535
8_1_May	8_1_May_SF_Bin12	7.448	4.239	4.889	7.264	16.31
8_1_May	8_1_May_SF_Bin13	5.29	1.788	2.269	1.857	8.909
8_1_May	8_1_May_SF_Bin16	2.508	5.016	3.996	5.585	13.445
8_1_May	8_1_May_SF_Bin17	8.237	17.652	4.099	8.342	13.403
8_1_May	8_1_May_SF_Bin19	8.13	4.085	4.418	7.542	13.242
8_1_May	8_1_May_SF_Bin5	2.622	2.038	1.965	5.831	7.074
8_1_May	8_1_May_SF_Bin8	5.552	26.758	0.294	1.002	8.714
8_1_May	8_1_May_SF_Bin9	2.836	2.351	3.311	2.742	8.617
8_1_Oct	8_1_Oct_SF_Bin1	9.802	2.741	2.574	6.113	12.66
8_1_Oct	8_1_Oct_SF_Bin100	3.263	4.218	-0.645	0.609	2.954
8_1_Oct	8_1_Oct_SF_Bin101	3.669	2.237	1.678	7.723	11.006
8_1_Oct	8_1_Oct_SF_Bin102	8.318	4.258	4.264	7.933	15.333
8_1_Oct	8_1_Oct_SF_Bin103	4.916	25.164	-0.119	0.546	7.542
8_1_Oct	8_1_Oct_SF_Bin104	9.082	4.949	4.733	7.933	13.351
8_1_Oct	8_1_Oct_SF_Bin105	4.146	13.481	3.67	4.378	12.082
8_1_Oct	8_1_Oct_SF_Bin107	0.204	8.537	1.259	0.225	1.331
8_1_Oct	8_1_Oct_SF_Bin109	2.043	5.68	3.346	4.242	9.048
8_1_Oct	8_1_Oct_SF_Bin11	0.623	-0.019	1.599	3.728	9.707
8_1_Oct	8_1_Oct_SF_Bin111	9.635	5.576	4.847	7.409	14.416
8_1_Oct	8_1_Oct_SF_Bin13	6.834	9.49	0.274	6.98	9.05
8_1_Oct	8_1_Oct_SF_Bin14	1.655	3.271	2.844	6.06	11.116
8_1_Oct	8_1_Oct_SF_Bin17	-1.472	-0.648	1.209	4.428	6.129
8_1_Oct	8_1_Oct_SF_Bin18	7.349	4.948	5.28	7.773	12.919
8_1_Oct	8_1_Oct_SF_Bin19	0.292	2.417	4.836	5.97	13.745
8_1_Oct	8_1_Oct_SF_Bin20	6.261	7.629	0.897	1.784	7.701
8_1_Oct	8_1_Oct_SF_Bin23	0.573	2.23	2.157	4.109	9.822
8_1_Oct	8_1_Oct_SF_Bin24	5.068	5.322	4.444	6.414	13.074
8_1_Oct	8_1_Oct_SF_Bin25	5.13	5.288	3.611	7.087	13.089
8_1_Oct	8_1_Oct_SF_Bin26	5.166	4.619	4.759	6.998	14.818
8_1_Oct	8_1_Oct_SF_Bin28	8.222	2.797	3.809	7.609	14.293
8_1_Oct	8_1_Oct_SF_Bin29	4.334	24.707	0.222	0.842	6.016
8_1_Oct	8_1_Oct_SF_Bin3	10.655	4.068	5.019	6.643	14.588
8_1_Oct	8_1_Oct_SF_Bin32	8.02	9.789	1.274	6.56	10.028
8_1_Oct	8_1_Oct_SF_Bin33	5.321	27.154	0.298	0.549	7.695
8_1_Oct	8_1_Oct_SF_Bin34	7.397	3.252	2.617	7.528	12.038
8_1_Oct	8_1_Oct_SF_Bin35	5.086	27.262	-0.237	1.584	8.57
8_1_Oct	8_1_Oct_SF_Bin36	4.897	28.122	1.657	0.962	8.817
8_1_Oct	8_1_Oct_SF_Bin37	3.072	10.229	1.011	1.802	5.85
8_1_Oct	8_1_Oct_SF_Bin39	2.674	5.569	0.15	0.286	6.548
8_1_Oct	8_1_Oct_SF_Bin4	6.795	6.834	2.963	4.776	9.224
8_1_Oct	8_1_Oct_SF_Bin41	6.737	19.02	-0.48	1.162	3.936
8_1_Oct	8_1_Oct_SF_Bin42	6.646	10.906	0.859	1.402	8.591
8_1_Oct	8_1_Oct_SF_Bin45	2.869	4.743	3.195	2.624	7.462
8_1_Oct	8_1_Oct_SF_Bin47	8.262	5.588	5.47	6.733	14.575
8_1_Oct	8_1_Oct_SF_Bin49	4.784	5.854	3.926	5.693	12.627
8_1_Oct	8_1_Oct_SF_Bin52	5.538	28.224	0.676	0.848	7.428
8_1_Oct	8_1_Oct_SF_Bin53	5.406	26.141	0.757	1.34	7.118
8_1_Oct	8_1_Oct_SF_Bin54	4.757	5.278	3.756	5.767	14.753
8_1_Oct	8_1_Oct_SF_Bin55	4.464	9.835	1.569	1.116	5.945
8_1_Oct	8_1_Oct_SF_Bin56	7.411	4.868	5.048	4.565	14.4
8_1_Oct	8_1_Oct_SF_Bin59	9.291	18.895	4.168	8.273	13.612
8_1_Oct	8_1_Oct_SF_Bin61	3.169	3.778	1.567	7.686	12.784
8_1_Oct	8_1_Oct_SF_Bin62	4.851	22.884	0.087	1.091	7.269
8_1_Oct	8_1_Oct_SF_Bin63	5.53	5.228	4.566	5.781	15.797
8_1_Oct	8_1_Oct_SF_Bin66	1.248	2.697	4.17	9.624	10.704
8_1_Oct	8_1_Oct_SF_Bin67	7.648	8.379	0.931	6.958	10.885
8_1_Oct	8_1_Oct_SF_Bin68	5.667	2.603	4.088	8.9	12.632
8_1_Oct	8_1_Oct_SF_Bin69	3.534	3.798	2.815	7.999	14.006
8_1_Oct	8_1_Oct_SF_Bin71	4.742	19.569	-0.503	0.42	5.996
8_1_Oct	8_1_Oct_SF_Bin72	9.851	5.569	4.14	6.72	13.266
8_1_Oct	8_1_Oct_SF_Bin73	9.012	3.19	4.035	6.724	14.576
8_1_Oct	8_1_Oct_SF_Bin74	5.288	6.075	3.235	5.617	12.361
8_1_Oct	8_1_Oct_SF_Bin77	7.605	3.473	4.988	7.033	13.955
8_1_Oct	8_1_Oct_SF_Bin79	10.604	13.885	2.712	6.019	12.696
8_1_Oct	8_1_Oct_SF_Bin8	5.79	1.779	2.608	4.639	9.658
8_1_Oct	8_1_Oct_SF_Bin80	3.365	20.69	-0.128	0.842	3.808
8_1_Oct	8_1_Oct_SF_Bin81	4.545	27.937	0.325	1.115	7.841
8_1_Oct	8_1_Oct_SF_Bin82	3.898	12.063	0.071	0.842	5.847
8_1_Oct	8_1_Oct_SF_Bin83	1.967	5.025	3.515	4.483	11.011
8_1_Oct	8_1_Oct_SF_Bin84	7.886	28.795	1.229	0.171	8.479
8_1_Oct	8_1_Oct_SF_Bin85	4.999	16.892	-0.581	0.011	5.384
8_1_Oct	8_1_Oct_SF_Bin87	5.391	27.177	1.296	0.403	7.72
8_1_Oct	8_1_Oct_SF_Bin90	0.481	2.261	1.048	3.06	6.3
8_1_Oct	8_1_Oct_SF_Bin91	2.253	2.76	1.929	6.905	9.694
8_1_Oct	8_1_Oct_SF_Bin92	3.442	1.912	3.991	3.763	11.353
8_1_Oct	8_1_Oct_SF_Bin93	7.125	23.694	0.154	1.584	8.39
8_1_Oct	8_1_Oct_SF_Bin95	9.462	3.903	3.293	6.573	13.516
8_1_Oct	8_1_Oct_SF_Bin96	4.373	29.746	0.593	0.011	7.542
8_1_Oct	8_1_Oct_SF_Bin98	10.306	5.101	4.991	7.494	15.607
