MAG	GTDB	37mark	CheckM_Comp	CheckM_Cont	GenomeSize_MB	Abundance_CoverM
4_1_Jan_SF_Bin59	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__;g__;s__	Actinobacteria	72.47	3.19	2.19	0.049
4_1_May_SF_Bin62	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__;g__;s__	Actinobacteria	64.48	1.02	1.807	0.044
4_1_Oct_SF_Bin19	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__;g__;s__	Actinobacteria	71.52	0.24	1.862	0.047
24_Oct_SF_Bin4	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__GCA-2699445;g__;s__	Actinobacteria	52.83	5.84	2.123	0.075
4_1_July_SF_Bin14	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__JAENZW01;g__JAENZW01;s__	Actinobacteria; Coriobacteriaceae	88.33	3.61	1.949	0.029
4_1_Jan_SF_Bin61	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__	Actinobacteria; Thermoleophilia	80.32	1.95	2.699	0.059
4_1_May_SF_Bin52	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	Actinobacteria; Thermoleophilia	68.36	1.72	2.203	0.055
4_1_Oct_SF_Bin32	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__	Actinobacteria; Thermoleophilia	61.01	2.82	2.151	0.053
4_1_Jan_SF_Bin18	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__GMQP-bins7;s__	Actinobacteria; Thermoleophilia	93.03	3.02	2.551	0.035
4_1_May_SF_Bin55	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__GMQP-bins7;s__	Actinobacteria; Thermoleophilia	93.1	2.16	2.591	0.036
4_1_Oct_SF_Bin14	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__GMQP-bins7;s__	Actinobacteria; Thermoleophilia	88.22	1.87	2.46	0.034
21_Jan_SF_Bin72	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Miltoncostaeales;f__;g__;s__	Actinobacteria	62.21	0.43	1.66	0.036
13_May_SF_Bin35	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Miltoncostaeales;f__Miltoncostaeaceae;g__;s__	Actinobacteria	87.13	7.18	2.506	0.047
4_1_Jan_SF_Bin49	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__HRBIN12;g__AC-51;s__	Actinobacteria	85.14	0.85	2.632	0.035
4_1_May_SF_Bin66	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__HRBIN12;g__AC-51;s__	Actinobacteria	80.48	1.88	2.451	0.033
4_1_Oct_SF_Bin20	d__Bacteria;p__Actinobacteriota;c__UBA4738;o__UBA4738;f__HRBIN12;g__AC-51;s__	Actinobacteria	79.2	2.14	2.461	0.034
4_1_July_SF_Bin29	d__Bacteria;p__Armatimonadota;c__CAIYQO01;o__WVXJ01;f__;g__;s__	Armatimonadota	54.2	8.62	1.387	0.041
13_May_SF_Bin4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	Bacteroidetes	76.51	2.52	4.667	0.026
21_Jan_SF_Bin4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	Bacteroidetes	80.62	7.5	4.936	0.018
21_Jan_SF_Bin48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	Bacteroidetes	88.39	3.46	4.177	0.019
8_1_Jan_SF_Bin4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	Bacteroidetes	81.64	6.29	4.055	0.028
8_1_Jan_SF_Bin40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	Bacteroidetes	89.19	4.29	3.428	0.038
8_1_Jan_SF_Bin42	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	Bacteroidetes	92.54	6.89	4.751	0.031
8_1_Jan_SF_Bin89	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	Bacteroidetes	84.73	4.96	2.853	0.028
8_1_Oct_SF_Bin109	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	Bacteroidetes	63.38	9.9	3.036	0.036
8_1_Oct_SF_Bin11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	Bacteroidetes	53.91	2.81	2.066	0.026
8_1_Oct_SF_Bin14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	Bacteroidetes	81.47	4.02	3.032	0.024
4_1_Jan_SF_Bin44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseolinea;s__	Bacteroidetes	99.7	1.88	5.097	0.033
4_1_May_SF_Bin10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseolinea;s__	Bacteroidetes	97.62	4.61	4.965	0.032
4_1_Oct_SF_Bin41	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseolinea;s__	Bacteroidetes	98.79	2.33	5.09	0.033
4_1_Jan_SF_Bin36	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__UBA2336;s__	Bacteroidetes	55.27	8.96	1.896	0.039
8_1_Jan_SF_Bin6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aureibaculum;s__	Bacteroidetes	81.06	5.87	2.918	0.043
21_Jan_SF_Bin56	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__HDS-28;s__	Bacteroidetes	90.29	3.6	2.706	0.036
21_May_SF_Bin10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__HDS-28;s__	Bacteroidetes	52.33	0.4	1.591	0.026
13_Jan_SF_Bin5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__JAGXRT01;s__	Bacteroidetes	58.14	6.8	1.235	0.037
13_Jan_SF_Bin2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__QNYL01;s__	Bacteroidetes	76.28	9.14	2.636	0.066
13_May_SF_Bin21	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__IGN2;s__	Ignavibacteriae	73.52	3.63	2.486	0.052
4_1_Jan_SF_Bin14	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__;g__;s__	Ignavibacteriae	90.11	4.12	2.762	0.038
13_May_SF_Bin23	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__;s__	Ignavibacteriae	53.41	1.37	2.155	0.028
8_1_Oct_SF_Bin17	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__;s__	Proteobacteria; Oligoflexia	62.24	0	1.736	0.026
8_1_Jan_SF_Bin51	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__;s__	Proteobacteria; Epsilonproteobacteria	65.11	3.05	1.512	0.038
21_Jan_SF_Bin5	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__4572-78;f__J111;g__J095;s__	Chloroflexi; Ardenticatenia	50.07	2.73	2.923	0.051
24_May_SF_Bin27	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11579;g__;s__	Chloroflexi	69.09	5.1	2.433	0.044
8_1_July_SF_Bin50	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11579;g__;s__	Chloroflexi	71.62	5.18	3.133	0.029
8_1_Oct_SF_Bin13	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA11579;g__JABJGH01;s__	Chloroflexi	65.7	0.99	2.435	0.051
4_1_July_SF_Bin1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__E26-bin7;f__E26-bin7;g__E26-bin7;s__	Chloroflexi	60.27	8.73	3.738	0.096
4_1_July_SF_Bin35	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA7937;f__B3-Chlor;g__B3-Chlor;s__	Chloroflexi	62.48	8.97	2.482	0.041
8_1_Oct_SF_Bin42	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__E44-bin88;g__;s__	Chloroflexi	76.9	6.44	1.73	0.066
8_1_Jan_SF_Bin41	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__20-14-all-45-10;s__	Chloroflexi	77.93	7.89	1.501	0.035
8_1_Oct_SF_Bin82	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__20-14-all-45-10;s__	Chloroflexi	50.77	5.94	0.913	0.032
4_1_Jan_SF_Bin38	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__	Chloroflexi	73.1	2.57	1.399	0.074
4_1_July_SF_Bin57	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__	Chloroflexi	86.11	1.49	1.61	0.072
4_1_July_SF_Bin62	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__	Chloroflexi	82.84	5.06	1.652	0.079
4_1_May_SF_Bin14	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__	Chloroflexi	56.07	2.64	1.297	0.065
4_1_May_SF_Bin29	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__	Chloroflexi	71.31	1.77	1.283	0.070
4_1_Jan_SF_Bin57	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__SPCO01;s__	Chloroflexi	69.65	2.78	2.503	0.065
4_1_Oct_SF_Bin45	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__Limnocylindrales;f__CSP1-4;g__SPCO01;s__	Chloroflexi	64.32	3.24	2.444	0.064
4_1_May_SF_Bin54	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__QHBO01;f__QHBO01;g__;s__	Chloroflexi	90.11	3.06	1.879	0.065
13_July_SF_Bin2	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__;s__	Proteobacteria; Deltaproteobacteria	61.54	3.55	4.061	0.026
13_May_SF_Bin19	d__Bacteria;p__Desulfobacterota_E;c__MBNT15;o__J040;f__J040;g__WVXK01;s__	Proteobacteria; Deltaproteobacteria	58.21	5.46	1.357	0.028
13_July_SF_Bin10	d__Bacteria;p__Desulfobacterota_E;c__MBNT15;o__MBNT15;f__MBNT15;g__CSP1-8;s__	Proteobacteria; Deltaproteobacteria	55.7	3.5	1.767	0.109
13_May_SF_Bin101	d__Bacteria;p__Desulfobacterota_E;c__MBNT15;o__MBNT15;f__MBNT15;g__CSP1-8;s__	Proteobacteria; Deltaproteobacteria	74.73	7.4	2.044	0.135
21_May_SF_Bin32	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	Proteobacteria; Deltaproteobacteria	55.03	6.58	3.459	0.152
24_Jan_SF_Bin12	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	Proteobacteria; Deltaproteobacteria	62.07	7.9	4.191	0.160
24_Jan_SF_Bin10	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SG8-13;g__;s__	Proteobacteria; Deltaproteobacteria	51.07	2.53	3.621	0.126
24_Oct_SF_Bin38	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__SURF-15;g__;s__	Proteobacteria; Deltaproteobacteria	50.85	8.84	3.155	0.124
13_Jan_SF_Bin31	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	Proteobacteria; Deltaproteobacteria	53.82	3.87	1.858	0.071
13_Oct_SF_Bin29	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__JAAXQD01;s__	Proteobacteria; Deltaproteobacteria	76.74	6.62	2.672	0.087
4_1_July_SF_Bin60	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__	Proteobacteria; Deltaproteobacteria	89.21	5.53	3.459	0.098
13_Jan_SF_Bin38	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp002868985	Proteobacteria; Deltaproteobacteria	81.62	4.68	3.469	0.046
13_Oct_SF_Bin32	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp002868985	Proteobacteria; Deltaproteobacteria	96.13	3.87	4.655	0.055
21_July_SF_Bin1	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp002868985	Proteobacteria; Deltaproteobacteria	94.84	2.58	4.553	0.085
21_May_SF_Bin9	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp002868985	Proteobacteria; Deltaproteobacteria	92.58	4.84	4.536	0.060
21_Oct_SF_Bin17	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp002868985	Proteobacteria; Deltaproteobacteria	97.74	4.84	4.095	0.053
24_Jan_SF_Bin13	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp002868985	Proteobacteria; Deltaproteobacteria	64.16	3.35	2.566	0.051
24_May_SF_Bin33	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA11574;g__UBA11574;s__UBA11574 sp002868985	Proteobacteria; Deltaproteobacteria	67.03	2.69	2.682	0.052
21_Oct_SF_Bin14	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2174_A;g__;s__	Proteobacteria; Deltaproteobacteria	52.11	6.8	4.203	0.189
13_Jan_SF_Bin30	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__BM004;g__BM004;s__BM004 sp002868955	Proteobacteria; Deltaproteobacteria	82.26	1.41	2.04	0.065
13_Oct_SF_Bin33	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__BM004;g__BM004;s__BM004 sp002868955	Proteobacteria; Deltaproteobacteria	91.37	2.86	2.588	0.072
21_July_SF_Bin2	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__BM004;g__BM004;s__BM004 sp002868955	Proteobacteria; Deltaproteobacteria	62.1	2.03	1.691	0.064
21_May_SF_Bin30	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__BM004;g__BM004;s__BM004 sp002868955	Proteobacteria; Deltaproteobacteria	93.06	1.34	2.713	0.074
21_Oct_SF_Bin18	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__BM004;g__BM004;s__BM004 sp002868955	Proteobacteria; Deltaproteobacteria	83.31	3.17	2.274	0.066
24_Jan_SF_Bin20	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__BM004;g__BM004;s__BM004 sp002868955	Proteobacteria; Deltaproteobacteria	71.26	2.41	1.712	0.064
24_Oct_SF_Bin27	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__BM004;g__BM004;s__BM004 sp002868955	Proteobacteria; Deltaproteobacteria	80.92	0.51	1.822	0.064
13_Jan_SF_Bin8	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__BM004;g__BM004;s__BM004 sp012974315	Proteobacteria; Deltaproteobacteria	78.22	4.34	2.175	0.146
13_Jan_SF_Bin12	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	Proteobacteria; Deltaproteobacteria	89.85	8.53	3.225	0.037
13_Jan_SF_Bin14	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	Proteobacteria; Deltaproteobacteria	89.1	2.68	4.009	0.024
4_1_May_SF_Bin4	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	Proteobacteria; Deltaproteobacteria	75.55	1.19	3.098	0.027
8_1_July_SF_Bin20	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__DUZU01;s__DUZU01 sp013349285	Proteobacteria; Deltaproteobacteria	98.4	0.36	3.629	0.070
4_1_May_SF_Bin58	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__UBA2262 sp013349295	Proteobacteria; Deltaproteobacteria	96.96	1.19	3.112	0.042
13_Jan_SF_Bin49	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__	Proteobacteria; Deltaproteobacteria	55.9	8.77	1.999	0.044
13_Jan_SF_Bin54	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__	Proteobacteria; Deltaproteobacteria	54.72	3.79	1.387	0.026
4_1_May_SF_Bin57	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__	Proteobacteria; Deltaproteobacteria	90.48	2.81	2.738	0.071
4_1_May_SF_Bin9	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__	Proteobacteria; Deltaproteobacteria	73.15	2.08	2.376	0.039
24_Oct_SF_Bin20	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__;s__	Proteobacteria; Deltaproteobacteria	67.41	1.94	2.367	0.026
24_Oct_SF_Bin31	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__;s__	Proteobacteria; Deltaproteobacteria	70.01	2.65	2.537	0.074
13_Jan_SF_Bin1	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__M0040;s__	Proteobacteria; Deltaproteobacteria	60	3.77	1.591	0.081
13_Oct_SF_Bin5	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__M0040;s__	Proteobacteria; Deltaproteobacteria	57.86	1.31	1.843	0.129
21_May_SF_Bin22	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__M0040;s__	Proteobacteria; Deltaproteobacteria	79.83	3.39	3.1	0.136
24_July_SF_Bin1	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__M0040;s__	Proteobacteria; Deltaproteobacteria	62.26	1	2.802	0.120
24_May_SF_Bin4	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__M0040;s__	Proteobacteria; Deltaproteobacteria	55.16	1	2.037	0.123
24_Oct_SF_Bin9	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadales;f__BM103;g__M0040;s__	Proteobacteria; Deltaproteobacteria	88.51	4.22	3.449	0.152
4_1_July_SF_Bin43	d__Bacteria;p__Desulfobacterota;c__GWC2-55-46;o__GWC2-55-46;f__DRQE01;g__;s__	Proteobacteria; Deltaproteobacteria	94.19	0.65	2.143	0.027
24_May_SF_Bin10	d__Bacteria;p__Desulfobacterota;c__JADFVX01;o__JADFVX01;f__;g__;s__	Proteobacteria; Deltaproteobacteria	97.42	0.65	4.816	0.041
4_1_July_SF_Bin55	d__Bacteria;p__Desulfobacterota;c__SM23-61;o__SM23-61;f__SM23-61;g__JAHJQK01;s__	Proteobacteria; Deltaproteobacteria	80	2.12	4.567	0.056
13_Oct_SF_Bin15	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp002899795	Proteobacteria; Deltaproteobacteria	96	7.33	5.147	0.089
21_July_SF_Bin16	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp002899795	Proteobacteria; Deltaproteobacteria	68.96	4.25	2.716	0.071
21_May_SF_Bin20	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp002899795	Proteobacteria; Deltaproteobacteria	87.74	4.28	3.395	0.076
21_Oct_SF_Bin24	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp002899795	Proteobacteria; Deltaproteobacteria	76.45	6.16	3.5	0.078
24_Jan_SF_Bin17	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp002899795	Proteobacteria; Deltaproteobacteria	92.85	5.18	4.358	0.087
24_July_SF_Bin12	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp002899795	Proteobacteria; Deltaproteobacteria	93.66	1.31	3.691	0.077
24_May_SF_Bin32	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp002899795	Proteobacteria; Deltaproteobacteria	85.33	7.78	3.197	0.073
24_Oct_SF_Bin1	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__BM002;f__BM002;g__BM002;s__BM002 sp002899795	Proteobacteria; Deltaproteobacteria	82.53	5.52	3.681	0.076
4_1_May_SF_Bin68	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__PNKF01;s__	Gemmatimonadetes	79.23	1.65	2.737	0.082
13_May_SF_Bin78	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	Gemmatimonadetes	87.42	3.3	3.491	0.074
4_1_Jan_SF_Bin35	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	Gemmatimonadetes	73.43	2.9	3.749	0.036
4_1_Jan_SF_Bin65	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	Gemmatimonadetes	82.5	4.46	2.845	0.046
4_1_May_SF_Bin31	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	Gemmatimonadetes	58.62	3.95	2.175	0.039
4_1_May_SF_Bin51	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	Gemmatimonadetes	52.77	1.2	2.783	0.032
4_1_Oct_SF_Bin18	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	Gemmatimonadetes	76.12	2.7	2.658	0.041
4_1_Oct_SF_Bin44	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	Gemmatimonadetes	73.63	5.59	3.707	0.037
8_1_May_SF_Bin5	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	Gemmatimonadetes	57.47	5	1.747	0.034
8_1_Oct_SF_Bin91	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	Gemmatimonadetes	76.56	5.59	2.533	0.024
4_1_Oct_SF_Bin21	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__SZUA-320;s__	Gemmatimonadetes	59.35	4.9	1.702	0.071
13_Jan_SF_Bin53	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__WVYX01;s__	Gemmatimonadetes	92.21	2.2	3.588	0.038
13_July_SF_Bin32	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__WVYX01;s__	Gemmatimonadetes	97.8	2.2	3.784	0.039
13_May_SF_Bin58	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__WVYX01;s__	Gemmatimonadetes	98.9	2.2	3.684	0.038
13_May_SF_Bin79	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__WVYX01;s__	Gemmatimonadetes	87.36	6.04	4.249	0.055
13_Oct_SF_Bin3	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__WVYX01;s__	Gemmatimonadetes	88.51	1.46	3.461	0.037
8_1_July_SF_Bin36	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__WVYX01;s__	Gemmatimonadetes	93.41	3.95	3.627	0.038
21_Jan_SF_Bin74	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__;s__	Gemmatimonadetes	74.14	0	3.851	0.038
13_July_SF_Bin57	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__JAENXO01;s__	Gemmatimonadetes	54.96	1.75	1.432	0.035
13_May_SF_Bin66	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__KS3-K002;f__JABDQB01;g__JAENXO01;s__	Gemmatimonadetes	80.7	5.07	2.1	0.045
