Genome	Taxonomy	Site	Month	S	C	O	Fe	N
4_1_Jan_SF_Bin28	Betaproteobacteria	4_1	1	0.25	0.16	0.58	0.67	0.69
4_1_Jan_SF_Bin31	Gammaproteobacteria	4_1	1	0.43	0.07	0.19	0.69	0.5
4_1_Jan_SF_Bin32	Gammaproteobacteria	4_1	1	0.32	0.04	0.26	0.88	0.62
4_1_Jan_SF_Bin33	Betaproteobacteria	4_1	1	0.53	0.06	0.39	0.86	0.68
4_1_Jan_SF_Bin34	Gammaproteobacteria	4_1	1	0.22	0.12	0.46	0.85	0.69
4_1_Jan_SF_Bin35	Gemmatimonadetes	4_1	1	0.54	0.04	0.31	0.73	0.58
4_1_Jan_SF_Bin36	Bacteroidetes	4_1	1	0.05	0.02	0.22	0.35	0.4
4_1_Jan_SF_Bin38	Chloroflexi	4_1	1	0.23	0.16	0.1	0.12	0.32
4_1_Jan_SF_Bin4	Gammaproteobacteria	4_1	1	0.26	0.06	0.44	0.88	0.68
4_1_Jan_SF_Bin40	Betaproteobacteria	4_1	1	0.53	0.06	0.47	0.83	0.67
4_1_Jan_SF_Bin41	Nitrospirae	4_1	1	0.32	0.06	0.45	0.67	0.69
4_1_Jan_SF_Bin42	Nitrospirae	4_1	1	0.33	0.07	0.39	0.64	0.69
4_1_Jan_SF_Bin43	Gammaproteobacteria	4_1	1	0.18	0.11	0.13	0.84	0.57
4_1_Jan_SF_Bin44	Bacteroidetes	4_1	1	0.14	0.04	0.4	0.47	0.64
4_1_Jan_SF_Bin49	Actinobacteria	4_1	1	0.12	0.11	0.27	0.3	0.62
4_1_Jan_SF_Bin51	Nitrospirae	4_1	1	0.26	0.07	0.38	0.52	0.54
4_1_Jan_SF_Bin53	Nitrospirae	4_1	1	0.33	0.07	0.41	0.53	0.71
4_1_Jan_SF_Bin54	Betaproteobacteria	4_1	1	0.52	0.06	0.48	0.83	0.73
4_1_Jan_SF_Bin55	Actinobacteria	4_1	1	0.08	0.08	0.44	0.35	0.61
4_1_Jan_SF_Bin56	Betaproteobacteria	4_1	1	0.26	0.04	0.37	0.71	0.63
4_1_Jan_SF_Bin57	Chloroflexi	4_1	1	0.3	0.08	0.24	0.63	0.59
4_1_Jan_SF_Bin58	Actinobacteria	4_1	1	0.24	0.09	0.46	0.32	0.68
4_1_Jan_SF_Bin59	Actinobacteria	4_1	1	0.22	0.09	0.34	0.28	0.57
4_1_Jan_SF_Bin60	Gammaproteobacteria	4_1	1	0.21	0.07	0.46	0.87	0.68
4_1_Jan_SF_Bin61	Actinobacteria	4_1	1	0.22	0.07	0.38	0.27	0.59
4_1_Jan_SF_Bin63	Nitrospirae	4_1	1	0.27	0.06	0.43	0.51	0.63
4_1_Jan_SF_Bin64	Betaproteobacteria	4_1	1	0.44	0.05	0.22	0.53	0.5
4_1_Jan_SF_Bin65	Gemmatimonadetes	4_1	1	0.3	0.17	0.24	0.57	0.56
4_1_Jan_SF_Bin67	Gammaproteobacteria	4_1	1	0.14	0.06	0.46	0.9	0.72
4_1_Jan_SF_Bin7	Actinobacteria	4_1	1	0.18	0.08	0.36	0.33	0.61
4_1_Jan_SF_Bin8	Betaproteobacteria	4_1	1	0.19	0.02	0.24	0.78	0.51
4_1_July_SF_Bin1	Chloroflexi	4_1	7	0.4	0.13	0.11	0.4	0.49
4_1_July_SF_Bin12	Gammaproteobacteria	4_1	7	0.48	0.03	0.28	0.55	0.48
4_1_July_SF_Bin14	Actinobacteria	4_1	7	0.38	0.13	0.18	0.58	0.49
4_1_July_SF_Bin17	Zixibacteria	4_1	7	0.2	0.02	0.17	0.71	0.49
4_1_July_SF_Bin20	Nitrospirae	4_1	7	0.62	0.15	0.5	0.83	0.66
4_1_July_SF_Bin22	Deltaproteobacteria	4_1	7	0.26	0.05	0.4	0.33	0.55
4_1_July_SF_Bin24	Nitrospirae	4_1	7	0.28	0.06	0.36	0.48	0.52
4_1_July_SF_Bin25	Spirochaetes	4_1	7	0.57	0.06	0.44	0.75	0.56
4_1_July_SF_Bin26	Thermoplasmata	4_1	7	0.54	0.09	0.12	0.07	0.32
4_1_July_SF_Bin28	Betaproteobacteria	4_1	7	0.56	0.08	0.43	0.94	0.64
4_1_July_SF_Bin29	Armatimonadota	4_1	7	0.4	0.07	0.23	0.04	0.41
4_1_July_SF_Bin3	Nitrospinae	4_1	7	0.51	0.22	0.35	0.72	0.56
4_1_July_SF_Bin30	Aminicenantes	4_1	7	0.38	0.05	0.16	0.63	0.38
4_1_July_SF_Bin31	Spirochaetes	4_1	7	0.23	0.07	0.59	0.71	0.63
4_1_July_SF_Bin33	Aminicenantes	4_1	7	0.53	0.11	0.13	0.69	0.53
4_1_July_SF_Bin34	Planctomycetes	4_1	7	0.19	0.07	0.22	0.53	0.42
4_1_July_SF_Bin35	Chloroflexi	4_1	7	0.28	0.17	0.01	0.46	0.41
4_1_July_SF_Bin37	Thorarchaeota	4_1	7	0.33	0.33	0.17	0.13	0.37
4_1_July_SF_Bin39	WOR-3	4_1	7	0.31	0.1	0.03	0.11	0.31
4_1_July_SF_Bin41	Bathyarchaeota	4_1	7	0.33	0.23	0.02	0.06	0.23
4_1_July_SF_Bin42	Zixibacteria	4_1	7	0.38	0.05	0.07	0.51	0.43
4_1_July_SF_Bin43	Deltaproteobacteria	4_1	7	0.64	0.11	0.47	0.42	0.51
4_1_July_SF_Bin45	Nitrospirae	4_1	7	0.44	0.08	0.37	0.72	0.61
4_1_July_SF_Bin46	Deltaproteobacteria	4_1	7	0.27	0.03	0.34	0.4	0.56
4_1_July_SF_Bin47	Nitrospirae	4_1	7	0.6	0.17	0.45	0.49	0.65
4_1_July_SF_Bin48	Deltaproteobacteria	4_1	7	0.33	0.07	0.43	0.66	0.64
4_1_July_SF_Bin49	Betaproteobacteria	4_1	7	0.15	0.05	0.26	0.6	0.46
4_1_July_SF_Bin50	Nitrospirae	4_1	7	0.34	0.06	0.39	0.62	0.69
4_1_July_SF_Bin51	Nitrospirae	4_1	7	0.21	0.06	0.36	0.56	0.62
4_1_July_SF_Bin52	Planctomycetes	4_1	7	0.4	0.19	0.32	0.45	0.46
4_1_July_SF_Bin53	Nitrospirae	4_1	7	0.34	0.07	0.4	0.62	0.71
4_1_July_SF_Bin54	Aminicenantes	4_1	7	0.33	0.05	0.11	0.36	0.31
4_1_July_SF_Bin55	Deltaproteobacteria	4_1	7	0.39	0.14	0.15	0.78	0.57
4_1_July_SF_Bin56	Spirochaetes	4_1	7	0.23	0.05	0.37	0.71	0.61
4_1_July_SF_Bin57	Chloroflexi	4_1	7	0.29	0.18	0.26	0.15	0.32
4_1_July_SF_Bin6	Betaproteobacteria	4_1	7	0.42	0.05	0.31	0.85	0.57
4_1_July_SF_Bin60	Deltaproteobacteria	4_1	7	0.65	0.17	0.35	0.64	0.57
4_1_July_SF_Bin61	Aminicenantes	4_1	7	0.21	0.05	0.01	0.55	0.35
4_1_July_SF_Bin62	Chloroflexi	4_1	7	0.25	0.18	0.46	0.17	0.34
4_1_July_SF_Bin64	Berkelbacteria	4_1	7	0.02	0.06	0.09	0	0.01
4_1_July_SF_Bin9	Gammaproteobacteria	4_1	7	0.51	0.04	0.29	0.41	0.63
4_1_May_SF_Bin1	Actinobacteria	4_1	5	0.18	0.08	0.33	0.32	0.62
4_1_May_SF_Bin10	Bacteroidetes	4_1	5	0.1	0.04	0.4	0.44	0.64
4_1_May_SF_Bin11	Betaproteobacteria	4_1	5	0.14	0.04	0.38	0.48	0.58
4_1_May_SF_Bin13	Betaproteobacteria	4_1	5	0.52	0.05	0.33	0.54	0.48
4_1_May_SF_Bin14	Chloroflexi	4_1	5	0.24	0.18	0.23	0.14	0.35
4_1_May_SF_Bin26	Betaproteobacteria	4_1	5	0.65	0.07	0.39	0.42	0.53
4_1_May_SF_Bin28	Deltaproteobacteria	4_1	5	0.05	0.05	0.22	0.52	0.54
4_1_May_SF_Bin29	Chloroflexi	4_1	5	0.28	0.15	0.61	0.17	0.29
4_1_May_SF_Bin30	Betaproteobacteria	4_1	5	0.57	0.06	0.4	0.86	0.69
4_1_May_SF_Bin31	Gemmatimonadetes	4_1	5	0.3	0.16	0.27	0.54	0.6
4_1_May_SF_Bin33	Nitrospirae	4_1	5	0.27	0.07	0.51	0.52	0.4
4_1_May_SF_Bin34	Gammaproteobacteria	4_1	5	0.15	0.05	0.19	0.74	0.61
4_1_May_SF_Bin35	Gammaproteobacteria	4_1	5	0.3	0.06	0.33	0.86	0.67
4_1_May_SF_Bin36	Nitrospirae	4_1	5	0.33	0.07	0.39	0.52	0.7
4_1_May_SF_Bin38	Nitrospirae	4_1	5	0.28	0.04	0.23	0.64	0.55
4_1_May_SF_Bin4	Deltaproteobacteria	4_1	5	0.63	0.15	0.43	0.43	0.47
4_1_May_SF_Bin43	Gammaproteobacteria	4_1	5	0.21	0.08	0.41	0.88	0.71
4_1_May_SF_Bin44	Gammaproteobacteria	4_1	5	0.38	0.05	0.3	0.88	0.64
4_1_May_SF_Bin47	Actinobacteria	4_1	5	0.18	0.08	0.32	0.33	0.61
4_1_May_SF_Bin49	Betaproteobacteria	4_1	5	0.35	0.05	0.43	0.69	0.72
4_1_May_SF_Bin50	Actinobacteria	4_1	5	0.05	0.07	0.47	0.27	0.64
4_1_May_SF_Bin51	Gemmatimonadetes	4_1	5	0.21	0.02	0.22	0.56	0.43
4_1_May_SF_Bin52	Actinobacteria	4_1	5	0.27	0.04	0.27	0.35	0.57
4_1_May_SF_Bin53	Nitrospirae	4_1	5	0.34	0.06	0.39	0.62	0.69
4_1_May_SF_Bin54	Chloroflexi	4_1	5	0.31	0.02	0.21	0.31	0.55
4_1_May_SF_Bin55	Actinobacteria	4_1	5	0.26	0.02	0.14	0.36	0.56
4_1_May_SF_Bin56	Delphibacteria	4_1	5	0.3	0.04	0.17	0.69	0.52
4_1_May_SF_Bin57	Deltaproteobacteria	4_1	5	0.64	0.15	0.41	0.52	0.52
4_1_May_SF_Bin58	Deltaproteobacteria	4_1	5	0.64	0.14	0.43	0.62	0.54
4_1_May_SF_Bin59	Nitrospirae	4_1	5	0.34	0.06	0.4	0.62	0.7
4_1_May_SF_Bin6	Nitrospirae	4_1	5	0.26	0.06	0.21	0.55	0.62
4_1_May_SF_Bin62	Actinobacteria	4_1	5	0.27	0.05	0.24	0.25	0.53
4_1_May_SF_Bin63	Nitrospirae	4_1	5	0.32	0.06	0.45	0.65	0.67
4_1_May_SF_Bin64	Moranbacteria	4_1	5	0.16	0.02	0.05	0.07	0.08
4_1_May_SF_Bin65	Betaproteobacteria	4_1	5	0.47	0.05	0.48	0.81	0.71
4_1_May_SF_Bin66	Actinobacteria	4_1	5	0.2	0.11	0.32	0.48	0.6
4_1_May_SF_Bin67	Gammaproteobacteria	4_1	5	0.16	0.08	0.46	0.86	0.67
4_1_May_SF_Bin68	Gemmatimonadetes	4_1	5	0.19	0.04	0.16	0.62	0.52
4_1_May_SF_Bin69	Actinobacteria	4_1	5	0.08	0.03	0.38	0.33	0.63
4_1_May_SF_Bin72	Gammaproteobacteria	4_1	5	0.2	0.1	0.45	0.85	0.69
4_1_May_SF_Bin74	Gammaproteobacteria	4_1	5	0.13	0.06	0.46	0.9	0.72
4_1_May_SF_Bin75	Gammaproteobacteria	4_1	5	0.45	0.06	0.4	0.69	0.62
4_1_May_SF_Bin9	Deltaproteobacteria	4_1	5	0.53	0.11	0.35	0.48	0.45
4_1_Oct_SF_Bin11	Nitrospirae	4_1	10	0.21	0.05	0.29	0.52	0.52
4_1_Oct_SF_Bin12	Deltaproteobacteria	4_1	10	0.27	0.12	0.27	0.74	0.56
4_1_Oct_SF_Bin14	Actinobacteria	4_1	10	0.37	0.02	0.17	0.33	0.55
4_1_Oct_SF_Bin16	Betaproteobacteria	4_1	10	0.52	0.05	0.39	0.87	0.64
4_1_Oct_SF_Bin17	Actinobacteria	4_1	10	0.06	0.07	0.31	0.33	0.62
4_1_Oct_SF_Bin18	Gemmatimonadetes	4_1	10	0.21	0.14	0.29	0.54	0.59
4_1_Oct_SF_Bin19	Actinobacteria	4_1	10	0.13	0.06	0.27	0.19	0.58
4_1_Oct_SF_Bin2	Actinobacteria	4_1	10	0.14	0.04	0.36	0.15	0.59
4_1_Oct_SF_Bin20	Actinobacteria	4_1	10	0.11	0.06	0.29	0.3	0.61
4_1_Oct_SF_Bin21	Gemmatimonadetes	4_1	10	0.12	0.01	0.14	0.51	0.35
4_1_Oct_SF_Bin22	Gammaproteobacteria	4_1	10	0.29	0.07	0.37	0.87	0.68
4_1_Oct_SF_Bin23	Nitrospirae	4_1	10	0.34	0.07	0.4	0.62	0.72
4_1_Oct_SF_Bin24	Gammaproteobacteria	4_1	10	0.19	0.06	0.46	0.9	0.7
4_1_Oct_SF_Bin26	Nitrospirae	4_1	10	0.37	0.07	0.42	0.48	0.64
4_1_Oct_SF_Bin27	Betaproteobacteria	4_1	10	0.5	0.05	0.48	0.81	0.72
4_1_Oct_SF_Bin28	Betaproteobacteria	4_1	10	0.5	0.06	0.39	0.87	0.69
4_1_Oct_SF_Bin29	Betaproteobacteria	4_1	10	0.26	0.04	0.37	0.58	0.63
4_1_Oct_SF_Bin30	Nitrospirae	4_1	10	0.34	0.06	0.39	0.62	0.69
4_1_Oct_SF_Bin31	Betaproteobacteria	4_1	10	0.27	0.15	0.66	0.67	0.69
4_1_Oct_SF_Bin32	Actinobacteria	4_1	10	0.04	0.04	0.22	0.27	0.51
4_1_Oct_SF_Bin33	Gammaproteobacteria	4_1	10	0.21	0.04	0.24	0.6	0.5
4_1_Oct_SF_Bin34	Gammaproteobacteria	4_1	10	0.18	0.07	0.4	0.62	0.67
4_1_Oct_SF_Bin38	Gammaproteobacteria	4_1	10	0.06	0.02	0.24	0.52	0.48
4_1_Oct_SF_Bin4	Gammaproteobacteria	4_1	10	0.18	0.06	0.28	0.75	0.62
4_1_Oct_SF_Bin40	Betaproteobacteria	4_1	10	0.46	0.05	0.42	0.62	0.67
4_1_Oct_SF_Bin41	Bacteroidetes	4_1	10	0.14	0.04	0.4	0.44	0.64
4_1_Oct_SF_Bin42	Gammaproteobacteria	4_1	10	0.21	0.09	0.45	0.88	0.7
4_1_Oct_SF_Bin43	Gammaproteobacteria	4_1	10	0.15	0.05	0.29	0.88	0.64
4_1_Oct_SF_Bin44	Gemmatimonadetes	4_1	10	0.64	0.05	0.3	0.7	0.61
4_1_Oct_SF_Bin45	Chloroflexi	4_1	10	0.3	0.09	0.08	0.54	0.54
4_1_Oct_SF_Bin49	Betaproteobacteria	4_1	10	0.35	0.04	0.21	0.32	0.5
4_1_Oct_SF_Bin50	Gammaproteobacteria	4_1	10	0.38	0.05	0.3	0.88	0.64
4_1_Oct_SF_Bin51	Betaproteobacteria	4_1	10	0.39	0.06	0.39	0.89	0.63
4_1_Oct_SF_Bin52	Nitrospirae	4_1	10	0.33	0.06	0.39	0.52	0.67
4_1_Oct_SF_Bin54	Delphibacteria	4_1	10	0.32	0.04	0.17	0.69	0.52
4_1_Oct_SF_Bin55	Gammaproteobacteria	4_1	10	0.21	0.12	0.46	0.85	0.69
4_1_Oct_SF_Bin8	Betaproteobacteria	4_1	10	0.27	0.06	0.46	0.46	0.63
4_1_Oct_SF_Bin9	Nitrospirae	4_1	10	0.25	0.07	0.32	0.52	0.67
8_1_Jan_SF_Bin1	Gammaproteobacteria	8_1	1	0.72	0.08	0.32	0.66	0.62
8_1_Jan_SF_Bin100	Gammaproteobacteria	8_1	1	0.59	0.03	0.25	0.54	0.49
8_1_Jan_SF_Bin101	Bathyarchaeota	8_1	1	0.25	0.23	0.06	0	0.36
8_1_Jan_SF_Bin103	Gammaproteobacteria	8_1	1	0.63	0.07	0.47	0.63	0.67
8_1_Jan_SF_Bin105	Gammaproteobacteria	8_1	1	0.46	0.05	0.54	0.82	0.75
8_1_Jan_SF_Bin107	Betaproteobacteria	8_1	1	0.3	0.05	0.47	0.69	0.64
8_1_Jan_SF_Bin108	Elusimicrobia	8_1	1	0.25	0.15	0.04	0.12	0.2
8_1_Jan_SF_Bin12	Bathyarchaeota	8_1	1	0.38	0.33	0.06	0.27	0.44
8_1_Jan_SF_Bin13	Nitrospirae	8_1	1	0.59	0.14	0.21	0.73	0.56
8_1_Jan_SF_Bin14	WOR-3	8_1	1	0.17	0.04	0.16	0.07	0.22
8_1_Jan_SF_Bin17	Gammaproteobacteria	8_1	1	0.37	0.05	0.33	0.59	0.66
8_1_Jan_SF_Bin18	Alphaproteobacteria	8_1	1	0.56	0.05	0.47	0.58	0.57
8_1_Jan_SF_Bin19	Gammaproteobacteria	8_1	1	0.58	0.06	0.42	0.76	0.63
8_1_Jan_SF_Bin23	Gammaproteobacteria	8_1	1	0.64	0.06	0.47	0.72	0.71
8_1_Jan_SF_Bin27	Gammaproteobacteria	8_1	1	0.47	0.05	0.39	0.69	0.67
8_1_Jan_SF_Bin3_1	Gammaproteobacteria	8_1	1	0.34	0.02	0.34	0.54	0.6
8_1_Jan_SF_Bin31	Gammaproteobacteria	8_1	1	0.24	0.19	0.38	0.42	0.62
8_1_Jan_SF_Bin32	Bathyarchaeota	8_1	1	0.26	0.27	0.26	0.15	0.36
8_1_Jan_SF_Bin33	Gammaproteobacteria	8_1	1	0.38	0.06	0.44	0.62	0.52
8_1_Jan_SF_Bin34	Actinobacteria	8_1	1	0.23	0.06	0.22	0.58	0.54
8_1_Jan_SF_Bin35	Aminicenantes	8_1	1	0.54	0.15	0.08	0.64	0.51
8_1_Jan_SF_Bin36	Aigarchaeota	8_1	1	0.32	0.32	0.08	0.12	0.36
8_1_Jan_SF_Bin39	Gammaproteobacteria	8_1	1	0.45	0.04	0.51	0.71	0.69
8_1_Jan_SF_Bin4	Bacteroidetes	8_1	1	0.22	0.07	0.31	0.51	0.51
8_1_Jan_SF_Bin40	Bacteroidetes	8_1	1	0.23	0.05	0.26	0.45	0.57
8_1_Jan_SF_Bin41	Chloroflexi	8_1	1	0.29	0.13	0.02	0.08	0.35
8_1_Jan_SF_Bin42	Bacteroidetes	8_1	1	0.28	0.06	0.33	0.63	0.61
8_1_Jan_SF_Bin44	Gammaproteobacteria	8_1	1	0.44	0.04	0.44	0.22	0.58
8_1_Jan_SF_Bin45	Thaumarchaeota	8_1	1	0.04	0.03	0.2	0.06	0.33
8_1_Jan_SF_Bin46	Bathyarchaeota	8_1	1	0.35	0.35	0	0.1	0.22
8_1_Jan_SF_Bin48	Bathyarchaeota	8_1	1	0.3	0.3	0.01	0.13	0.4
8_1_Jan_SF_Bin49	Aminicenantes	8_1	1	0.51	0.1	0.1	0.63	0.45
8_1_Jan_SF_Bin50	Bathyarchaeota	8_1	1	0.34	0.15	0.04	0.02	0.24
8_1_Jan_SF_Bin51	Epsilonproteobacteria	8_1	1	0.36	0.08	0.37	0.52	0.55
8_1_Jan_SF_Bin52	Bathyarchaeota	8_1	1	0.34	0.32	0.01	0.13	0.37
8_1_Jan_SF_Bin53	Gammaproteobacteria	8_1	1	0.37	0.06	0.44	0.77	0.55
8_1_Jan_SF_Bin54	Gammaproteobacteria	8_1	1	0.45	0.04	0.43	0.68	0.7
8_1_Jan_SF_Bin55	Bathyarchaeota	8_1	1	0.33	0.26	0.03	0.13	0.38
8_1_Jan_SF_Bin56	Gammaproteobacteria	8_1	1	0.71	0.07	0.45	0.73	0.64
8_1_Jan_SF_Bin58	Heimdallarchaeota	8_1	1	0.25	0.01	0.17	0.18	0.44
8_1_Jan_SF_Bin59	Thaumarchaeota	8_1	1	0.23	0.06	0.3	0.07	0.36
8_1_Jan_SF_Bin6	Bacteroidetes	8_1	1	0.16	0.03	0.26	0.38	0.45
8_1_Jan_SF_Bin60	Alphaproteobacteria	8_1	1	0.3	0.07	0.31	0.74	0.58
8_1_Jan_SF_Bin62	Aminicenantes	8_1	1	0.35	0.14	0.01	0.13	0.32
8_1_Jan_SF_Bin63	Gammaproteobacteria	8_1	1	0.45	0.04	0.45	0.68	0.67
8_1_Jan_SF_Bin65	Gammaproteobacteria	8_1	1	0.46	0.04	0.45	0.82	0.73
8_1_Jan_SF_Bin66	Thaumarchaeota	8_1	1	0.17	0.07	0.34	0.18	0.43
8_1_Jan_SF_Bin67	Thaumarchaeota	8_1	1	0.18	0.08	0.39	0.25	0.43
8_1_Jan_SF_Bin68	Nitrospirae	8_1	1	0.32	0.07	0.35	0.5	0.62
8_1_Jan_SF_Bin71	Bathyarchaeota	8_1	1	0.37	0.32	0.06	0.1	0.4
8_1_Jan_SF_Bin73	Actinobacteria	8_1	1	0.1	0.04	0.23	0.34	0.54
8_1_Jan_SF_Bin74	Bathyarchaeota	8_1	1	0.35	0.35	0.12	0.07	0.37
8_1_Jan_SF_Bin75	Gammaproteobacteria	8_1	1	0.5	0.05	0.41	0.81	0.55
8_1_Jan_SF_Bin77	Gammaproteobacteria	8_1	1	0.23	0.03	0.18	0.76	0.51
8_1_Jan_SF_Bin79	Hadesarchaea	8_1	1	0.17	0.1	0.07	0.1	0.13
8_1_Jan_SF_Bin80	Nomurabacteria	8_1	1	0.07	0	0.04	0.18	0.04
8_1_Jan_SF_Bin81	Bathyarchaeota	8_1	1	0.32	0.36	0.19	0.04	0.39
8_1_Jan_SF_Bin82	Gammaproteobacteria	8_1	1	0.5	0.05	0.41	0.68	0.72
8_1_Jan_SF_Bin85	Gammaproteobacteria	8_1	1	0.29	0.07	0.29	0.84	0.59
8_1_Jan_SF_Bin86	Nitrospinae	8_1	1	0.13	0.06	0.34	0.62	0.57
8_1_Jan_SF_Bin88	Alphaproteobacteria	8_1	1	0.17	0.05	0.41	0.43	0.61
8_1_Jan_SF_Bin89	Bacteroidetes	8_1	1	0.14	0.02	0.22	0.54	0.54
8_1_Jan_SF_Bin9	Nitrospinae	8_1	1	0.53	0.2	0.4	0.76	0.59
8_1_Jan_SF_Bin93	Betaproteobacteria	8_1	1	0.04	0.03	0.31	0.69	0.6
8_1_Jan_SF_Bin95	Alphaproteobacteria	8_1	1	0.27	0.05	0.36	0.57	0.58
8_1_Jan_SF_Bin96	Bathyarchaeota	8_1	1	0.27	0.35	0.07	0.08	0.36
8_1_Jan_SF_Bin98	Gammaproteobacteria	8_1	1	0.4	0.02	0.43	0.74	0.58
8_1_July_SF_Bin11	Gammaproteobacteria	8_1	7	0.48	0.1	0.45	0.9	0.58
8_1_July_SF_Bin13	Gammaproteobacteria	8_1	7	0.67	0.09	0.43	0.72	0.56
8_1_July_SF_Bin20	Deltaproteobacteria	8_1	7	0.67	0.16	0.37	0.55	0.51
8_1_July_SF_Bin21	Nitrospirae	8_1	7	0.45	0.08	0.37	0.59	0.61
8_1_July_SF_Bin24	Betaproteobacteria	8_1	7	0.38	0.16	0.44	0.77	0.66
8_1_July_SF_Bin25	Pacebacteria	8_1	7	0.03	0.01	0.05	0.07	0.05
8_1_July_SF_Bin26	Deltaproteobacteria	8_1	7	0.53	0.06	0.31	0.5	0.62
8_1_July_SF_Bin3	Alphaproteobacteria	8_1	7	0.5	0.06	0.39	0.76	0.66
8_1_July_SF_Bin31	Alphaproteobacteria	8_1	7	0.17	0.05	0.46	0.3	0.66
8_1_July_SF_Bin32	Betaproteobacteria	8_1	7	0.29	0.04	0.43	0.79	0.63
8_1_July_SF_Bin33	Bathyarchaeota	8_1	7	0.29	0.22	0.21	0.08	0.22
8_1_July_SF_Bin34	Nitrospinae	8_1	7	0.58	0.14	0.39	0.84	0.57
8_1_July_SF_Bin35	Thaumarchaeota	8_1	7	0.18	0.07	0.32	0.25	0.4
8_1_July_SF_Bin36	Gemmatimonadetes	8_1	7	0.45	0.04	0.28	0.72	0.61
8_1_July_SF_Bin37	Betaproteobacteria	8_1	7	0	0.03	0.25	0.49	0.56
8_1_July_SF_Bin39	Gammaproteobacteria	8_1	7	0.55	0.05	0.42	0.82	0.63
8_1_July_SF_Bin40	Gammaproteobacteria	8_1	7	0.33	0.05	0.4	0.75	0.66
8_1_July_SF_Bin41	Deltaproteobacteria	8_1	7	0.36	0.06	0.53	0.52	0.59
8_1_July_SF_Bin42	Bathyarchaeota	8_1	7	0.41	0.35	0.06	0.08	0.21
8_1_July_SF_Bin45	Nitrospirae	8_1	7	0.32	0.06	0.45	0.67	0.72
8_1_July_SF_Bin46	Gammaproteobacteria	8_1	7	0.26	0.03	0.27	0.88	0.55
8_1_July_SF_Bin47	Actinobacteria	8_1	7	0.11	0.04	0.26	0.32	0.56
8_1_July_SF_Bin48	Nitrospinae	8_1	7	0.55	0.21	0.4	0.8	0.64
8_1_July_SF_Bin50	Chloroflexi	8_1	7	0.41	0.06	0.15	0.62	0.5
8_1_July_SF_Bin52	Actinobacteria	8_1	7	0.15	0.08	0.33	0.27	0.6
8_1_July_SF_Bin54	Gammaproteobacteria	8_1	7	0.53	0.04	0.33	0.88	0.7
8_1_July_SF_Bin55	Gammaproteobacteria	8_1	7	0.59	0.06	0.46	0.65	0.71
8_1_July_SF_Bin57	Gammaproteobacteria	8_1	7	0.65	0.05	0.39	0.72	0.56
8_1_July_SF_Bin58	Deltaproteobacteria	8_1	7	0.28	0.15	0.16	0.74	0.53
8_1_July_SF_Bin59	Thaumarchaeota	8_1	7	0.17	0.07	0.32	0.25	0.43
8_1_July_SF_Bin60	Nitrospirae	8_1	7	0.28	0.06	0.22	0.41	0.55
8_1_July_SF_Bin61	Nitrospirae	8_1	7	0.25	0.07	0.37	0.51	0.59
8_1_July_SF_Bin62	Betaproteobacteria	8_1	7	0.33	0.04	0.47	0.73	0.65
8_1_July_SF_Bin63	Nitrospirae	8_1	7	0.28	0.07	0.36	0.5	0.62
8_1_July_SF_Bin64	Gemmatimonadetes	8_1	7	0.24	0.04	0.11	0.73	0.47
8_1_July_SF_Bin65	Gammaproteobacteria	8_1	7	0.2	0.08	0.43	0.75	0.6
8_1_July_SF_Bin66	Gammaproteobacteria	8_1	7	0.61	0.06	0.38	0.86	0.67
8_1_July_SF_Bin68	Gammaproteobacteria	8_1	7	0.22	0.1	0.47	0.6	0.52
8_1_July_SF_Bin69	Gammaproteobacteria	8_1	7	0.37	0.07	0.35	0.88	0.67
8_1_July_SF_Bin7	Actinobacteria	8_1	7	0.02	0.03	0.17	0.63	0.51
8_1_July_SF_Bin70	Gammaproteobacteria	8_1	7	0.46	0.04	0.35	0.71	0.45
8_1_July_SF_Bin71	Nitrospirae	8_1	7	0.27	0.06	0.31	0.58	0.59
8_1_July_SF_Bin73	Bathyarchaeota	8_1	7	0.36	0.31	0.02	0.05	0.32
8_1_July_SF_Bin8	Delphibacteria	8_1	7	0.09	0.01	0.13	0.58	0.37
8_1_May_SF_Bin10	Thaumarchaeota	8_1	5	0.18	0.06	0.28	0.18	0.4
8_1_May_SF_Bin11	Nitrospinae	8_1	5	0.59	0.23	0.39	0.8	0.61
8_1_May_SF_Bin12	Gammaproteobacteria	8_1	5	0.46	0.05	0.46	0.69	0.74
8_1_May_SF_Bin13	Heimdallarchaeota	8_1	5	0.33	0.02	0.21	0.18	0.4
8_1_May_SF_Bin16	Nitrospirae	8_1	5	0.16	0.06	0.37	0.53	0.61
8_1_May_SF_Bin17	Nitrospinae	8_1	5	0.51	0.21	0.38	0.8	0.61
8_1_May_SF_Bin19	Gammaproteobacteria	8_1	5	0.51	0.05	0.41	0.72	0.6
8_1_May_SF_Bin5	Gemmatimonadetes	8_1	5	0.16	0.02	0.18	0.56	0.32
8_1_May_SF_Bin8	Bathyarchaeota	8_1	5	0.35	0.31	0.03	0.1	0.39
8_1_May_SF_Bin9	Thaumarchaeota	8_1	5	0.18	0.03	0.31	0.26	0.39
8_1_Oct_SF_Bin1	Spirochaetes	8_1	10	0.61	0.03	0.24	0.58	0.57
8_1_Oct_SF_Bin100	Bathyarchaeota	8_1	10	0.2	0.05	0.54	0.06	0.13
